journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
Acta Polytechnica Hungarica,1785-8860,1785-8860,2.2,Q2,Q2
ACTA PROTOZOOLOGICA,0065-1583,1689-0027,0.8,Q4,Q4
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,0001-6896,,0.1,Q4,Q4
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,1600-0447,4.7,Q1,Q1
ACTA PSYCHOLOGICA,0001-6918,1873-6297,3.8,Q1,Q1
Acta Psychologica Sinica,0439-755X,,1.9,Q2,Q2
ACTA RADIOLOGICA,0284-1851,1600-0455,1.2,Q4,Q4
Acta Radiologica Open,,2058-4601,0.9,Q4,Q4
Acta Scientiae Veterinariae,1678-0345,1679-9216,0.2,Q4,Q4
ACTA SCIENTIARUM-AGRONOMY,1679-9275,1807-8621,1.2,Q3,Q3
ACTA SCIENTIARUM-HEALTH SCIENCES,1679-9291,1807-8648,0.4,Q4,Q4
ACTA SCIENTIARUM MATHEMATICARUM,0001-6969,2064-8316,0.7,Q3,Q3
Acta Scientiarum Polonorum-Formatio Circumiectus,1644-0765,1644-0765,0.9,Q3,Q3|Q4
Acta Scientiarum Polonorum-Hortorum Cultus,1644-0692,2545-1405,1.0,Q4,Q4
Acta Scientiarum Polonorum-Technologia Alimentaria,1644-0730,1898-9594,0.7,Q4,Q4
ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,1807-8664,0.6,Q4,Q4
Acta Silvae et Ligni,2335-3112,2335-3953,0.3,Q4,Q4
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,2083-9480,1.1,Q3,Q3
ACTA SOCIOLOGICA,0001-6993,1502-3869,2.1,Q2,Q2
Acta Stomatologica Croatica,0001-7019,1846-0410,1.8,Q3,Q3
Acta Structilia,1023-0564,2415-0487,1.2,Q4,Q4
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,1221-5872,2393-2988,0.1,Q4,Q4
Acta Technologica Agriculturae,,1338-5267,1.4,Q3,Q3
Acta Theologica,1015-8758,2309-9089,0.2,,
ACTA TROPICA,0001-706X,1873-6254,2.6,Q2,Q2
Acta Turistica,0353-4316,1848-6061,0.4,Q4,Q4
Acta Universitatis Carolinae Theologica,1804-5588,2336-3398,<0.1,,
Acta Universitatis Lodziensis-Folia Archaeologica,0208-6034,2449-8300,<0.1,,
Acta Universitatis Lodziensis-Folia Iuridica,0208-6069,2450-2782,0.1,Q4,Q4
Acta Universitatis Lodziensis Folia Litteraria Polonica,1505-9057,2353-1908,0.1,,
Acta Universitatis Lodziensis Folia Litteraria Romanica,1505-9065,2449-8831,<0.1,,
Acta Universitatis Sapientiae-Film and Media Studies,2065-5924,2066-7779,0.2,,
Acta Universitatis Sapientiae Informatica,1844-6086,2066-7760,0.7,Q4,Q4
Acta Universitatis Sapientiae-Mathematica,1844-6094,2066-7752,0.6,Q3,Q3
ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448,0.9,Q3,Q3
ACTA VETERINARIA BRNO,0001-7213,1801-7576,0.7,Q4,Q4
Acta Veterinaria Eurasia,2618-639X,2619-905X,0.6,Q4,Q4
ACTA VETERINARIA HUNGARICA,0236-6290,1588-2705,1.0,Q3,Q3
ACTA VETERINARIA SCANDINAVICA,0044-605X,1751-0147,2.0,Q2,Q2
ACTA VIROLOGICA,0001-723X,1336-2305,1.1,Q4,Q4
ACTA ZOOLOGICA,0001-7272,1463-6395,1.1,Q3,Q3
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,1217-8837,,0.9,Q3,Q3
ACTA ZOOLOGICA BULGARICA,0324-0770,,0.5,Q4,Q4
Actas Dermo-Sifiliograficas,0001-7310,1578-2190,2.9,Q2,Q2
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1578-2735,2.1,Q3,Q3
Actas Urologicas Espanolas,0210-4806,1699-7980,1.7,Q3,Q3
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322,1955-2564,0.5,Q3,Q3
Action Learning,1476-7333,1476-7341,,,
Action Research,1476-7503,1741-2617,1.8,Q2,Q2|Q3
Active and Passive Electronic Components,0882-7516,1563-5031,1.6,Q4,Q4
Active Learning in Higher Education,1469-7874,1741-2625,3.4,Q1,Q1
Activitas Nervosa Superior Rediviva,1337-933X,1338-4015,0.2,Q4,Q4
Activites-Revue Electronique,1765-2723,1765-2723,0.3,Q4,Q4
Activities Adaptation & Aging,0192-4788,1544-4368,1.6,Q3,Q3
Actualidad Contable Faces,1316-8533,1316-8533,<0.1,Q4,Q4
Actualidad Juridica Ambiental,1989-5666,1989-5666,0.6,Q2,Q2
Actualidades en Psicologia,0258-6444,2215-3535,0.2,Q4,Q4
Actualidades Pedagogicas,0120-1700,2389-8755,<0.1,Q4,Q4
Actualites Pharmaceutiques,0515-3700,0515-3700,0.1,Q4,Q4
Actualizaciones en Osteologia,1669-8975,1669-8983,<0.1,Q4,Q4
Actuators,,2076-0825,2.4,Q2,Q2
Acupuncture and Herbal Medicine,2097-0226,2765-8619,7.3,Q1,Q1
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,2167-9010,0.3,Q4,Q4
Acupuncture in Medicine,0964-5284,1759-9873,2.7,Q2,Q2
Acute and Critical Care,2586-6052,2586-6060,2.3,Q3,Q3
Acute Medicine & Surgery,2052-8817,2052-8817,1.4,Q2,Q2
Ad Hoc Networks,1570-8705,1570-8713,5.4,Q1,Q1|Q2
Ad Hoc & Sensor Wireless Networks,1551-9899,1552-0633,0.4,Q4,Q4
AD-minister,1692-0279,2256-4322,0.4,Q4,Q4
Adalya,1301-2746,,0.3,,
ADANSONIA,1280-8571,1639-4798,0.8,Q4,Q4
Adaptation-The Journal of Literature on Screen Studies,1755-0637,1755-0645,0.2,,
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1543-2777,2.6,Q1,Q1|Q2
ADAPTIVE BEHAVIOR,1059-7123,1741-2633,1.6,Q2,Q2|Q4
Adaptive Human Behavior and Physiology,2198-7335,2198-7335,1.6,Q3,Q3
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,2255-2863,2255-2863,1.2,Q4,Q4
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,2174-0992,2254-2728,0.4,Q4,Q4
Addicta-The Turkish Journal on Addictions,2148-7286,2149-1305,0.7,Q4,Q4
ADDICTION,0965-2140,1360-0443,5.9,Q1,Q1
ADDICTION BIOLOGY,1355-6215,1369-1600,2.6,Q2,Q2|Q3
Addiction Neuroscience,,2772-3925,2.4,Q3,Q3
ADDICTION RESEARCH & THEORY,1606-6359,1476-7392,2.9,Q1,Q1|Q2
Addiction Science & Clinical Practice,,1940-0640,2.6,Q2,Q2
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,4.1,Q1,Q1
Addictive Behaviors Reports,,2352-8532,3.3,Q1,Q1
Additive Manufacturing,2214-8604,2214-7810,11.3,Q1,Q1
Additive Manufacturing Letters,2772-3690,2772-3690,5.2,Q2,Q2
Adelaide Law Review,0065-1915,0065-1915,0.3,Q3,Q3
Adicciones,0214-4840,2604-6334,1.2,Q4,Q4
Adipocyte,2162-3945,2162-397X,3.3,Q3,Q3
ADMET and DMPK,1848-7718,1848-7718,5.1,Q1,Q1|Q2
Administracao-Ensino e Pesquisa,2177-6083,2358-0917,0.2,Q4,Q4
Administracao Publica e Gestao Social,2175-5787,2175-5787,0.2,Q4,Q4
Administration,0001-8325,2449-9471,0.3,Q4,Q4
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,2.6,Q2,Q2
ADMINISTRATION & SOCIETY,0095-3997,1552-3039,1.9,Q3,Q3
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,1930-3815,7.9,Q1,Q1
Administrative Sciences,,2076-3387,3.9,Q2,Q2
Adolescent Psychiatry,2210-6766,2210-6774,0.3,Q4,Q4
Adolescent Research Review,2363-8346,2363-8354,8.3,Q1,Q1
Adolescents,,2673-7051,1.7,Q3,Q3
Adoption and Fostering,0308-5759,1740-469X,1.0,Q3,Q3
Adoption Quarterly,1092-6755,1544-452X,1.1,Q3,Q3
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,1572-8757,3.3,Q3,Q3
ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,2048-4038,2.5,Q3,Q3
ADULT EDUCATION QUARTERLY,0741-7136,1552-3047,1.6,Q2,Q2
Adult Learning,1045-1595,2162-4070,2.3,Q2,Q2
Adultspan Journal,1524-6817,2161-0029,0.6,Q4,Q4
Advanced Agrochem,,2773-2371,9.2,Q1,Q1
Advanced Biology,2701-0198,2701-0198,3.2,Q3,Q3
Advanced Biomedical Engineering,2187-5219,2187-5219,0.7,Q4,Q4
Advanced Biomedical Research,2277-9175,2277-9175,1.1,Q4,Q4
Advanced Biotechnology,,2948-2801,8.8,Q1,Q1
ADVANCED COMPOSITE MATERIALS,0924-3046,1568-5519,2.7,Q3,Q3
Advanced Composites and Hybrid Materials,2522-0128,2522-0136,15.5,Q1,Q1
Advanced Devices & Instrumentation,,2767-9713,6.0,Q1,Q1
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,21.0,Q1,Q1
Advanced Education,2409-3351,2410-8286,0.7,Q3,Q3
Advanced Electromagnetics,2119-0275,2119-0275,1.2,Q4,Q4
Advanced Electronic Materials,2199-160X,2199-160X,5.9,Q1,Q1|Q2
Advanced Emergency Nursing Journal,1931-4485,1931-4493,0.6,Q4,Q4
Advanced Energy and Sustainability Research,2699-9412,2699-9412,6.4,Q2,Q2
Advanced Energy Materials,1614-6832,1614-6840,25.5,Q1,Q1
ADVANCED ENGINEERING INFORMATICS,1474-0346,1873-5320,11.5,Q1,Q1
ADVANCED ENGINEERING MATERIALS,1438-1656,1527-2648,3.6,Q3,Q3
Advanced Fiber Materials,2524-7921,2524-793X,22.6,Q1,Q1
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,19.9,Q1,Q1
Advanced Healthcare Materials,2192-2640,2192-2659,11.0,Q1,Q1
Advanced Industrial and Engineering Polymer Research,2542-5048,2542-5048,18.4,Q1,Q1
Advanced Intelligent Systems,,2640-4567,6.7,Q1,Q1
Advanced Manufacturing-Polymer & Composites Science,2055-0340,2055-0359,3.3,Q3,Q3
ADVANCED MATERIALS,0935-9648,1521-4095,29.1,Q1,Q1
Advanced Materials Interfaces,2196-7350,2196-7350,4.5,Q2,Q2
Advanced Materials Technologies,2365-709X,2365-709X,6.0,Q2,Q2
Advanced Membranes,,2772-8234,12.6,Q1,Q1
Advanced Modeling and Simulation in Engineering Sciences,,2213-7467,4.1,Q1,Q1
Advanced NanoBiomed Research,2699-9307,2699-9307,4.8,Q2,Q2
ADVANCED NONLINEAR STUDIES,1536-1365,2169-0375,2.3,Q1,Q1
Advanced Optical Materials,2195-1071,2195-1071,7.2,Q1,Q1
Advanced Optical Technologies,2192-8576,2192-8584,3.2,Q2,Q2
Advanced Pharmaceutical Bulletin,2228-5881,2251-7308,4.7,Q1,Q1
Advanced Photonics,,2577-5421,19.5,Q1,Q1
Advanced Photonics Nexus,2791-1519,2791-1519,6.3,Q1,Q1
Advanced Photonics Research,2699-9293,2699-9293,4.0,Q2,Q2
Advanced Physics Research,2751-1200,2751-1200,3.4,Q2,Q2
Advanced Powder Materials,,2772-834X,26.8,Q1,Q1
ADVANCED POWDER TECHNOLOGY,0921-8831,1568-5527,4.5,Q2,Q2
Advanced Quantum Technologies,,2511-9044,4.3,Q2,Q2
ADVANCED ROBOTICS,0169-1864,1568-5535,1.7,Q4,Q4
Advanced Science,,2198-3844,14.1,Q1,Q1
Advanced Sensor and Energy Materials,,2773-045X,12.3,Q1,Q1
Advanced Sensor Research,2751-1219,2751-1219,5.0,Q1,Q1|Q2
Advanced Steel Construction,1816-112X,,1.4,Q3,Q3
Advanced Studies-Euro-Tbilisi Mathematical Journal,,2667-9930,0.4,Q4,Q4
Advanced Sustainable Systems,2366-7486,2366-7486,5.6,Q2,Q2
ADVANCED SYNTHESIS & CATALYSIS,1615-4150,1615-4169,3.7,Q1,Q1|Q2
Advanced Theory and Simulations,,2513-0390,3.2,Q2,Q2
Advanced Therapeutics,,2366-3987,3.2,Q2,Q2
Advancements of Microbiology,0079-4252,2545-3149,0.7,Q4,Q4
Advances and Applications in Discrete Mathematics,0974-1658,0974-1658,0.4,Q4,Q4
Advances and Applications in Statistics,0972-3617,0972-3617,0.3,Q4,Q4
Advances in Accounting,0882-6110,1046-5715,1.1,Q3,Q3
Advances in Aerodynamics,2097-3462,2524-6992,3.2,Q2,Q2
Advances in Agriculture,2356-654X,2314-7539,3.4,Q1,Q1
Advances in Aircraft and Spacecraft Science,2287-528X,2287-5271,0.7,Q4,Q4
ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,1533-4031,2.8,Q2,Q2
Advances in Applied Ceramics,1743-6753,1743-6761,1.6,Q3,Q3
Advances in Applied Clifford Algebras,0188-7009,1661-4909,1.0,Q3,Q3|Q4
Advances in Applied Energy,2666-7924,2666-7924,18.3,Q1,Q1
ADVANCES IN APPLIED MATHEMATICS,0196-8858,1090-2074,1.2,Q2,Q2
Advances in Applied Mathematics and Mechanics,2070-0733,2075-1354,0.8,Q3,Q3|Q4
ADVANCES IN APPLIED PROBABILITY,0001-8678,1475-6064,1.0,Q3,Q3
Advances in Archaeological Practice,2326-3768,2326-3768,1.8,,
Advances in Artificial Intelligence and Machine Learning,,2582-9793,0.8,Q4,Q4
Advances in Astronomy,1687-7969,1687-7977,0.9,Q4,Q4
ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,1861-9533,5.0,Q1,Q1
Advances in Autism,2056-3868,2056-3868,1.0,Q4,Q4
Advances in Bamboo Science,,2773-1391,3.9,Q1,Q1
Advances in Biological Regulation,2212-4926,2212-4934,2.7,Q3,Q3
Advances in Bridge Engineering,,2662-5407,2.4,Q3,Q3
Advances in Building Energy Research,1751-2549,1756-2201,2.7,Q2,Q2|Q4
Advances in Calculus of Variations,1864-8258,1864-8266,1.5,Q1,Q1|Q2
Advances in Cancer Biology-Metastasis,,2667-3940,4.2,Q2,Q2
ADVANCES IN CEMENT RESEARCH,0951-7197,1751-7605,2.3,Q3,Q3
Advances in Civil and Architectural Engineering,2975-3848,2975-3848,0.9,Q4,Q4
Advances in Civil Engineering,1687-8086,1687-8094,1.8,Q3,Q3
Advances in Civil Engineering Materials,2379-1357,2165-3984,1.6,Q4,Q4
Advances in Climate Change Research,1674-9278,1674-9278,5.6,Q1,Q1|Q2
Advances in Clinical and Experimental Medicine,1899-5276,2451-2680,2.5,Q3,Q3
Advances in Cognitive Psychology,1895-1171,1895-1171,0.9,Q4,Q4
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,1873-3727,23.7,Q1,Q1
ADVANCES IN COMPLEX SYSTEMS,0219-5259,1793-6802,1.1,Q3,Q3
"Advances in Computational Design, An International Journal",2383-8477,2466-0523,0.7,Q4,Q4
ADVANCES IN COMPUTATIONAL MATHEMATICS,1019-7168,1572-9044,2.6,Q1,Q1
Advances in Concrete Construction,2287-5301,2287-531X,1.7,Q3,Q3|Q4
Advances in Condensed Matter Physics,1687-8108,1687-8124,3.1,Q2,Q2
Advances in Continuous and Discrete Models,,2731-4235,1.6,Q1,Q1|Q2
Advances in Data Analysis and Classification,1862-5347,1862-5355,2.1,Q1,Q1
Advances in Data Science and Adaptive Analysis,2424-922X,2424-9238,0.6,Q4,Q4
Advances in Developing Human Resources,1523-4223,1552-3055,2.1,Q2,Q2
Advances in Differential Equations,1079-9389,1079-9389,1.4,Q1,Q1|Q2
Advances in Differential Equations and Control Processes,0974-3243,3048-734X,1.2,Q2,Q2
Advances in Digestive Medicine,2351-9797,2351-9800,0.5,Q4,Q4
Advances in Dual Diagnosis,1757-0972,2042-8324,0.7,Q4,Q4
Advances in Electrical and Computer Engineering,1582-7445,1844-7600,0.9,Q4,Q4
Advances in Electrical and Electronic Engineering,1336-1376,1804-3119,1.3,Q4,Q4
Advances in Energy Research,2287-6316,2287-6324,2.0,Q4,Q4
ADVANCES IN ENGINEERING SOFTWARE,0965-9978,1873-5339,6.3,Q1,Q1
Advances in Environmental Research-An International Journal,2234-1722,2234-1730,0.5,Q4,Q4
Advances in Fuzzy Systems,1687-7101,1687-711X,1.9,Q1,Q1|Q3
Advances in Geo-Energy Research,2207-9963,2208-598X,11.2,Q1,Q1
Advances in Geodesy and Geoinformation,2720-7242,2720-7242,0.6,Q4,Q4
ADVANCES IN GEOMETRY,1615-715X,1615-7168,0.8,Q2,Q2
Advances in Gerontology,2079-0570,2079-0589,1.3,Q4,Q4
Advances in Group Theory and Applications,2499-1287,2499-1287,0.5,Q3,Q3
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,1573-1677,3.4,Q1,Q1|Q2
Advances in High Energy Physics,1687-7357,1687-7365,1.0,Q4,Q4
Advances in Hospitality and Tourism Research-AHTR,2147-9100,2148-7316,1.7,Q3,Q3
Advances in Human Biology,2321-8568,2348-4691,0.9,Q4,Q4
Advances in Human-Computer Interaction,1687-5893,1687-5907,2.4,Q3,Q3
Advances in Industrial and Manufacturing Engineering,2666-9129,2666-9129,6.1,Q1,Q1|Q2
Advances in Integrative Medicine,2212-9588,2212-9596,1.4,Q3,Q3
Advances in Kidney Disease and Health,2949-8147,2949-8139,3.1,Q2,Q2
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,,2628-491X,1.4,Q3,Q3
Advances in Life Course Research,1569-4909,1879-6974,3.0,Q1,Q1
Advances in Manufacturing,2095-3127,2195-3597,3.9,Q2,Q2
Advances in Materials and Processing Technologies,2374-068X,2374-0698,2.3,Q3,Q3
Advances in Materials Research-An International Journal,2234-0912,2234-179X,1.6,Q4,Q4
Advances in Materials Science,2083-4799,2083-4799,1.9,Q4,Q4
Advances in Mathematical Physics,1687-9120,1687-9139,1.4,Q3,Q3
ADVANCES IN MATHEMATICS,0001-8708,1090-2082,1.7,Q1,Q1
Advances in Mathematics of Communications,1930-5346,1930-5338,0.8,Q3,Q3|Q4
Advances in Mechanical Engineering,1687-8132,1687-8140,2.3,Q2,Q2|Q3
Advances in Medical Education and Practice,1179-7258,1179-7258,1.9,Q2,Q2
Advances in Medical Sciences,1896-1126,1898-4002,2.5,Q3,Q3
Advances in Mental Health,1838-7357,1837-4905,1.8,Q3,Q3
Advances in Mental Health and Intellectual Disabilities,2044-1282,2044-1290,0.7,Q4,Q4
Advances in Meteorology,1687-9309,1687-9317,2.6,Q3,Q3
Advances in Methods and Practices in Psychological Science,2515-2459,2515-2467,14.6,Q1,Q1
Advances in Multimedia,1687-5680,1687-5699,0.9,Q4,Q4
Advances in Nano Research,2287-237X,2287-2388,3.7,Q2,Q2|Q3
Advances in Natural Sciences-Nanoscience and Nanotechnology,2043-6254,2043-6262,2.4,Q3,Q3|Q4
Advances in Neonatal Care,1536-0903,1536-0911,1.6,Q3,Q3
Advances in Neurodevelopmental Disorders,2366-7532,2366-7540,2.0,Q1,Q1|Q2|Q3
Advances in Nonlinear Analysis,2191-9496,2191-950X,3.4,Q1,Q1
ADVANCES IN NURSING SCIENCE,0161-9268,1550-5014,1.7,Q3,Q3
Advances in Nutrition,2161-8313,2156-5376,12.7,Q1,Q1
Advances in Operator Theory,2662-2009,2538-225X,0.7,Q3,Q3
Advances in Ophthalmology Practice and Research,,2667-3762,4.5,Q1,Q1
Advances in Optics and Photonics,1943-8206,,30.1,Q1,Q1
Advances in Orthopedics,2090-3464,2090-3472,1.5,Q3,Q3
Advances in Pharmacological and Pharmaceutical Sciences,2633-4682,2633-4690,2.9,Q2,Q2
Advances in Pharmacology and Pharmacy,2332-0036,2332-0044,0.9,Q4,Q4
ADVANCES IN PHYSICS,0001-8732,1460-6976,7.0,Q1,Q1
Advances in Physics-X,2374-6149,2374-6149,9.9,Q1,Q1
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,1522-1229,1.9,Q2,Q2|Q4
ADVANCES IN POLYMER TECHNOLOGY,0730-6679,1098-2329,3.7,Q2,Q2
Advances in Production Engineering & Management,1854-6250,1855-6531,3.2,Q3,Q3
Advances in Public Health,2356-6868,2314-7784,1.7,Q3,Q3
Advances in Pure and Applied Mathematics,1867-1152,1869-6090,0.3,Q4,Q4
Advances in Radiation Oncology,,2452-1094,2.9,Q2,Q2|Q3
Advances in Radio Science,1684-9965,1684-9973,0.9,Q4,Q4
Advances in Redox Research,,2667-1379,3.8,Q2,Q2
Advances in Rehabilitation Science and Practice,2753-6351,2753-6351,2.3,Q2,Q2
Advances in Respiratory Medicine,2451-4934,2543-6031,4.5,Q1,Q1
Advances in Rheumatology,2523-3106,2523-3106,2.8,Q2,Q2
Advances in Sample Preparation,,2772-5820,6.6,Q1,Q1
Advances in Science and Technology-Research Journal,2080-4075,2299-8624,1.5,Q3,Q3
Advances in Simulation,,2059-0628,3.6,Q2,Q2
Advances in Skin & Wound Care,1527-7941,1538-8654,1.5,Q3,Q3
ADVANCES IN SPACE RESEARCH,0273-1177,1879-1948,3.2,Q1,Q1|Q2|Q3
ADVANCES IN STRUCTURAL ENGINEERING,1369-4332,2048-4011,2.5,Q2,Q2|Q3
Advances in Theoretical and Mathematical Physics,1095-0761,1095-0753,2.2,Q2,Q2|Q3
ADVANCES IN THERAPY,0741-238X,1865-8652,4.7,Q1,Q1|Q2
Advances in Traditional Medicine,2662-4052,2662-4060,1.4,Q4,Q4
Advances in Urology,1687-6369,1687-6377,0.6,Q4,Q4
Advances in Virology,1687-8639,1687-8647,2.1,Q3,Q3
ADVANCES IN WATER RESOURCES,0309-1708,1872-9657,4.1,Q2,Q2
Advances in Weed Science,2675-9462,2675-9462,1.0,Q3,Q3|Q4
Advances in Wound Care,2162-1918,2162-1934,5.7,Q1,Q1
Adversity and Resilience Science,2662-2424,2662-2416,2.1,Q2,Q2|Q3
Aedos-Revista do Corpo Discente do Programa de Pos-Graduacao em Historia da UFRGS,1984-5634,1984-5634,<0.1,Q4,Q4
AEM Education and Training,,2472-5390,1.6,Q3,Q3
Aeolian Research,1875-9637,2212-1684,3.2,Q2,Q2
Aequationes Mathematicae,0001-9054,1420-8903,0.9,Q2,Q2|Q3
AERA Open,,2332-8584,2.8,Q1,Q1
AEROBIOLOGIA,0393-5965,1573-3025,2.1,Q2,Q2|Q4
AERONAUTICAL JOURNAL,0001-9240,2059-6464,1.8,Q3,Q3
Aerosol and Air Quality Research,1680-8584,2071-1409,2.9,Q3,Q3
Aerosol Science and Engineering,2510-375X,2510-3768,2.3,Q3,Q3
AEROSOL SCIENCE AND TECHNOLOGY,0278-6826,1521-7388,2.2,Q3,Q3
Aerospace,,2226-4310,2.5,Q2,Q2
AEROSPACE AMERICA,0740-722X,0740-722X,<0.1,Q4,Q4
Aerospace Medicine and Human Performance,2375-6314,2375-6322,0.8,Q4,Q4
Aerospace Research in Bulgaria,1313-0927,2367-9522,0.4,Q4,Q4
Aerospace Science and Technology,1270-9638,1626-3219,6.4,Q1,Q1
AEROTECNICA MISSILI E SPAZIO,0365-7442,2524-6968,1.5,Q3,Q3
AESTHETIC PLASTIC SURGERY,0364-216X,1432-5241,2.7,Q1,Q1
Aesthetic Surgery Journal,1090-820X,1527-330X,4.2,Q1,Q1
Aesthetic Surgery Journal Open Forum,,2631-4797,2.3,Q2,Q2
Aestimum,1592-6117,1724-2118,,,
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,1434-8411,1618-0399,3.1,Q2,Q2|Q3
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,0001-9593,1827-787X,0.1,,
Affective Science,2662-2041,2662-205X,2.8,Q2,Q2
Affilia-Feminist Inquiry in Social Work,0886-1099,1552-3020,2.4,Q1,Q1
Afghanistan,2399-357X,2399-3588,0.2,,
AFINIDAD,0001-9704,2339-9686,0.4,Q4,Q4
Afkar-Jurnal Akidah & Pemikiran Islam-Journal of Aqidah & Islamic Thought,1511-8819,2550-1755,0.5,,
AFRICA,0001-9720,1750-0184,1.3,Q1,Q1|Q2
Africa Education Review,1814-6627,1753-5921,0.5,Q4,Q4
Africa Journal of Management,2332-2373,2332-2381,1.9,Q3,Q3
Africa Review,0974-4053,0974-4061,0.5,Q3,Q3
Africa Spectrum,0002-0397,1868-6869,1.8,Q1,Q1
AFRICAN AFFAIRS,0001-9909,1468-2621,2.3,Q1,Q1|Q2
AFRICAN AMERICAN REVIEW,1062-4783,1945-6182,<0.1,,
African and Asian Studies,1569-2094,1569-2108,1.2,Q2,Q2
African Archaeological Review,0263-0338,1572-9842,1.1,Q2,Q2
AFRICAN ARTS,0001-9933,1937-2108,0.4,,
African Biodiversity & Conservation,3078-8048,3078-8056,,,
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,1017-6772,1467-8268,2.1,Q2,Q2
African Diaspora,1872-5457,1872-5465,0.3,Q4,Q4
African Disability Rights Yearbook,2311-8970,2311-8970,0.2,Q4,Q4
AFRICAN ECONOMIC HISTORY,0145-2258,2163-9108,0.4,Q2,Q2
AFRICAN ENTOMOLOGY,1021-3589,2254-8854,0.9,Q3,Q3
African Geographical Review,1937-6812,2163-2642,1.7,Q2,Q2
African Health Sciences,1680-6905,1729-0503,0.9,Q3,Q3
African Historical Review,1753-2523,1753-2531,0.2,Q3,Q3
AFRICAN INVERTEBRATES,1681-5556,2305-2562,0.8,Q3,Q3|Q4
African Journal of Accounting Auditing and Finance,2046-8083,2046-8091,0.6,Q4,Q4
African Journal of Agricultural and Resource Economics-AFJARE,1993-3738,1993-3738,0.3,Q4,Q4
AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,1727-9364,0.9,Q3,Q3
African Journal of Business Ethics,1817-7417,0976-3600,0.4,Q4,Q4
African Journal of Disability,2223-9170,2226-7220,1.6,Q3,Q3
AFRICAN JOURNAL OF ECOLOGY,0141-6707,1365-2028,1.4,Q4,Q4
African Journal of Economic and Management Studies,2040-0705,2040-0713,2.0,Q2,Q2
African Journal of Emergency Medicine,2211-419X,2211-4203,1.3,Q3,Q3
African Journal of Employee Relations,,2664-3731,0.1,Q4,Q4
African Journal of Health Professions Education,2078-5127,2078-5127,0.7,Q4,Q4
AFRICAN JOURNAL OF HERPETOLOGY,2156-4574,2153-3660,0.8,Q3,Q3
African Journal of Information Systems,1936-0282,1936-0282,0.7,Q4,Q4
African Journal of International and Comparative Law,0954-8890,1755-1609,0.2,Q4,Q4
African Journal of Laboratory Medicine,2225-2002,2225-2010,1.4,Q4,Q4
African Journal of Legal Studies,2210-9730,1708-7384,0.4,Q3,Q3
African Journal of Library Archives and Information Science,0795-4778,0795-4778,0.7,Q3,Q3
AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,1814-2338,1.1,Q3,Q3
African Journal of Nursing and Midwifery,1682-5055,1682-5055,0.6,Q4,Q4
African Journal of Primary Health Care & Family Medicine,2071-2928,2071-2936,1.7,Q3,Q3
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,1727-9380,1.6,Q3,Q3|Q4
African Journal of Reproductive Health,1118-4841,2141-3606,1.0,Q4,Q4
African Journal of Research in Mathematics Science and Technology Education,1811-7295,2469-7656,1.0,Q3,Q3
African Journal of Rhetoric,1998-2054,1998-2054,<0.1,,
African Journal of Science Technology Innovation & Development,2042-1338,2042-1346,1.6,Q2,Q2
African Journal of Urology,1110-5704,1961-9987,0.7,Q4,Q4
African Journal of Wildlife Research,2410-7220,2410-8200,1.2,Q3,Q3|Q4
African Journal on Conflict Resolution,1562-6997,2309-737X,0.6,Q3,Q3
